,date,/m/0j5fv
0,2004-01-04,1714.6070454236885
1,2004-01-11,0.0
2,2004-01-18,0.0
3,2004-01-25,0.0
4,2004-02-01,0.0
5,2004-02-08,0.0
6,2004-02-15,0.0
7,2004-02-22,2681.0542637585745
8,2004-02-29,2536.6839472849065
9,2004-03-07,1959.6056277366156
10,2004-03-14,861.1689432928106
11,2004-03-21,2691.9825929485073
12,2004-03-28,0.0
13,2004-04-04,4109.540818540884
14,2004-04-11,0.0
15,2004-04-18,2263.7085537359176
16,2004-04-25,0.0
17,2004-05-02,0.0
18,2004-05-09,2147.8964942506705
19,2004-05-16,1258.8831195175799
20,2004-05-23,977.7821299680015
21,2004-05-30,1616.5632051077744
22,2004-06-06,1974.3234380131692
23,2004-06-13,0.0
24,2004-06-20,2173.302455081055
25,2004-06-27,3547.7295646092666
26,2004-07-04,980.1474761227496
27,2004-07-11,0.0
28,2004-07-18,0.0
29,2004-07-25,0.0
30,2004-08-01,4003.321551305124
31,2004-08-08,0.0
32,2004-08-15,0.0
33,2004-08-22,0.0
34,2004-08-29,0.0
35,2004-09-05,0.0
36,2004-09-12,2565.074073204176
37,2004-09-19,0.0
38,2004-09-26,0.0
39,2004-10-03,1432.0908699162226
40,2004-10-10,3514.14143737162
41,2004-10-17,917.3249464561786
42,2004-10-24,768.8551960487808
43,2004-10-31,2114.00019131607
44,2004-11-07,0.0
45,2004-11-14,0.0
46,2004-11-21,1354.2664575732322
47,2004-11-28,995.3014894333456
48,2004-12-05,0.0
49,2004-12-12,0.0
50,2004-12-19,0.0
51,2004-12-26,0.0
52,2005-01-02,816.591170971532
53,2005-01-09,0.0
54,2005-01-16,965.9841748287297
55,2005-01-23,1914.7152306770595
56,2005-01-30,1517.1931775593011
57,2005-02-06,2114.638858507448
58,2005-02-13,1345.5171940063624
59,2005-02-20,887.6071085240645
60,2005-02-27,986.3962872001304
61,2005-03-06,2033.096216479001
62,2005-03-13,816.3674305392984
63,2005-03-20,1252.7424345198974
64,2005-03-27,0.0
65,2005-04-03,1015.1615754183301
66,2005-04-10,1056.6408635979324
67,2005-04-17,556.1418210889256
68,2005-04-24,1260.286460490331
69,2005-05-01,1298.5167704183373
70,2005-05-08,779.5549969707707
71,2005-05-15,793.960534448807
72,2005-05-22,1674.8614096995634
73,2005-05-29,0.0
74,2005-06-05,0.0
75,2005-06-12,1779.3275680081117
76,2005-06-19,1107.1752785185042
77,2005-06-26,647.0878801868538
78,2005-07-03,0.0
79,2005-07-10,2119.408989970161
80,2005-07-17,1333.7822393111815
81,2005-07-24,2843.1222168106956
82,2005-07-31,693.9651529802599
83,2005-08-07,839.521626626845
84,2005-08-14,1154.9568705218524
85,2005-08-21,1172.0645228971596
86,2005-08-28,1999.1347274056643
87,2005-09-04,0.0
88,2005-09-11,934.744101301923
89,2005-09-18,1085.6550476154312
90,2005-09-25,1815.0486583201298
91,2005-10-02,1498.935815779865
92,2005-10-09,1600.7758802989815
93,2005-10-16,1248.0169918371953
94,2005-10-23,1447.3820087257416
95,2005-10-30,1155.7396032836425
96,2005-11-06,896.5567603050498
97,2005-11-13,902.0642645013324
98,2005-11-20,0.0
99,2005-11-27,1842.3462533253885
100,2005-12-04,1131.2002284207367
101,2005-12-11,1501.3464301997763
102,2005-12-18,662.9859490480651
103,2005-12-25,1910.7973653098734
104,2006-01-01,1540.761497360017
105,2006-01-08,0.0
106,2006-01-15,1380.1984193123978
107,2006-01-22,2168.039903433039
108,2006-01-29,834.3908246247072
109,2006-02-05,1062.0624230549508
110,2006-02-12,487.64520132874003
111,2006-02-19,1632.6167995740445
112,2006-02-26,1029.7286967112434
113,2006-03-05,1482.2397128060836
114,2006-03-12,1306.2992902029534
115,2006-03-19,1641.1045837674296
116,2006-03-26,1230.2831071467783
117,2006-04-02,1230.646685153837
118,2006-04-09,1122.8270835476458
119,2006-04-16,1107.343172580493
120,2006-04-23,661.246136139813
121,2006-04-30,1865.4707310294957
122,2006-05-07,987.7125626835267
123,2006-05-14,579.1560096784941
124,2006-05-21,1368.975177797611
125,2006-05-28,1224.6160917743584
126,2006-06-04,1419.230371741721
127,2006-06-11,1234.972982480447
128,2006-06-18,1221.5775940158844
129,2006-06-25,923.8128772831964
