,date,sinus
0,2004-01-04,834.8812019746487
1,2004-01-11,1632.247173520402
2,2004-01-18,555.5945311676952
3,2004-01-25,1029.8851903085788
4,2004-02-01,460.79528598551747
5,2004-02-08,1436.333051070371
6,2004-02-15,687.432341875894
7,2004-02-22,933.906661758199
8,2004-02-29,1463.1762909384736
9,2004-03-07,0.0
10,2004-03-14,822.7794889910474
11,2004-03-21,937.2989388049688
12,2004-03-28,1085.1064067708426
13,2004-04-04,605.2568903122652
14,2004-04-11,0.0
15,2004-04-18,599.9194671290819
16,2004-04-25,926.2840251636167
17,2004-05-02,853.3035868134104
18,2004-05-09,466.1911309595978
19,2004-05-16,762.1549365430342
20,2004-05-23,755.7006805782052
21,2004-05-30,570.6624178292805
22,2004-06-06,0.0
23,2004-06-13,777.5626796773579
24,2004-06-20,513.6701645661291
25,2004-06-27,614.8596230382387
26,2004-07-04,0.0
27,2004-07-11,685.4451982515426
28,2004-07-18,744.9415646614543
29,2004-07-25,591.7372181381583
30,2004-08-01,912.2298706479457
31,2004-08-08,0.0
32,2004-08-15,732.6496516342767
33,2004-08-22,428.13995358485295
34,2004-08-29,531.5532712915749
35,2004-09-05,384.7026560261004
36,2004-09-12,469.1572810112256
37,2004-09-19,1031.373071632382
38,2004-09-26,690.9052387363007
39,2004-10-03,472.50957261904364
40,2004-10-10,560.1343620203296
41,2004-10-17,327.3040853957391
42,2004-10-24,1158.0178473561414
43,2004-10-31,828.1706412646512
44,2004-11-07,721.9910313753171
45,2004-11-14,614.577549167658
46,2004-11-21,2091.4729329690504
47,2004-11-28,376.22078299051066
48,2004-12-05,471.203081555335
49,2004-12-12,1445.759149581954
50,2004-12-19,1292.3948435274879
51,2004-12-26,891.4383299009002
52,2005-01-02,1188.6936686773988
53,2005-01-09,1236.2318805158277
54,2005-01-16,0.0
55,2005-01-23,983.7894117039301
56,2005-01-30,1296.6086258090465
57,2005-02-06,1302.7457082964333
58,2005-02-13,1082.9097820166826
59,2005-02-20,1379.9009584868677
60,2005-02-27,985.8850442252078
61,2005-03-06,1878.7443374919378
62,2005-03-13,1403.7743435419607
63,2005-03-20,1263.1119663122613
64,2005-03-27,284.8123391005508
65,2005-04-03,1502.3808747115966
66,2005-04-10,840.4531899422612
67,2005-04-17,961.1406394895939
68,2005-04-24,1574.999549352082
69,2005-05-01,855.6932761742145
70,2005-05-08,996.5918823782014
71,2005-05-15,1046.790988576032
72,2005-05-22,782.5594384428018
73,2005-05-29,292.5444615638744
74,2005-06-05,571.76734977241
75,2005-06-12,768.6064529741517
76,2005-06-19,1304.5187076572438
77,2005-06-26,417.0361965859839
78,2005-07-03,645.156093296616
79,2005-07-10,818.8376360027871
80,2005-07-17,712.159262775599
81,2005-07-24,725.2292228332383
82,2005-07-31,672.4345624183945
83,2005-08-07,720.9025938652243
84,2005-08-14,427.24264428206624
85,2005-08-21,647.3486726033192
86,2005-08-28,408.2412596758646
87,2005-09-04,1074.0090682791454
88,2005-09-11,625.3277596853459
89,2005-09-18,404.9420736353496
90,2005-09-25,995.5749273627865
91,2005-10-02,1087.326105938089
92,2005-10-09,1300.7709308017145
93,2005-10-16,673.6173308284178
94,2005-10-23,757.9283791008379
95,2005-10-30,1063.7594644681244
96,2005-11-06,773.5361591488628
97,2005-11-13,962.1467426397577
98,2005-11-20,1621.9936863166552
99,2005-11-27,958.8788718759864
100,2005-12-04,762.5492140859648
101,2005-12-11,1149.6027217047001
102,2005-12-18,367.4017072681147
103,2005-12-25,906.1154180050758
104,2006-01-01,1500.973674617683
105,2006-01-08,1202.6121623257216
106,2006-01-15,1021.6837680530898
107,2006-01-22,1252.5759633631017
108,2006-01-29,660.2055017544153
109,2006-02-05,1187.9630470012455
110,2006-02-12,1016.4634816567439
111,2006-02-19,625.2645988154758
112,2006-02-26,982.0022846742372
113,2006-03-05,1259.0063254335157
114,2006-03-12,844.0339655854841
115,2006-03-19,1442.006748331136
116,2006-03-26,759.2948470460458
117,2006-04-02,1046.7334280486293
118,2006-04-09,906.9149111441158
119,2006-04-16,969.9339292907298
120,2006-04-23,692.3921872554613
121,2006-04-30,619.3836844960471
122,2006-05-07,690.6266936327435
123,2006-05-14,734.1934488544338
124,2006-05-21,872.5213975226154
125,2006-05-28,868.3547837739536
126,2006-06-04,718.1067786507564
127,2006-06-11,715.9523759552824
128,2006-06-18,1347.4060757840516
129,2006-06-25,749.7738398322981
130,2006-07-02,1488.8625987577475
131,2006-07-09,559.0631355027615
132,2006-07-16,483.8537456314797
133,2006-07-23,1022.2873703975206
134,2006-07-30,1063.42650486517
135,2006-08-06,914.500921602012
136,2006-08-13,1066.9793355321663
137,2006-08-20,735.4893688874432
138,2006-08-27,478.5259406259395
139,2006-09-03,530.9153746066564
140,2006-09-10,869.1275643233095
141,2006-09-17,717.0811225220746
142,2006-09-24,1055.6588455396382
143,2006-10-01,1030.9947275364057
144,2006-10-08,987.2154441028684
145,2006-10-15,787.0270028178303
146,2006-10-22,683.8796747933363
147,2006-10-29,626.999951353722
148,2006-11-05,460.80167770263836
149,2006-11-12,1047.8805728350853
150,2006-11-19,667.5807327115091
151,2006-11-26,823.0134604118127
152,2006-12-03,894.1160215365675
153,2006-12-10,1077.4025030349637
154,2006-12-17,1243.90355165105
155,2006-12-24,1108.890209482379
156,2006-12-31,1175.4753566739228
157,2007-01-07,951.6465082938862
158,2007-01-14,1174.601325099256
159,2007-01-21,1074.859304184813
160,2007-01-28,1105.7516289458385
161,2007-02-04,1131.3312549590453
162,2007-02-11,1042.6097593144864
