,date,body temperature
0,2004-01-04,314.42567787131827
1,2004-01-11,0.0
2,2004-01-18,0.0
3,2004-01-25,270.91048738358137
4,2004-02-01,0.0
5,2004-02-08,0.0
6,2004-02-15,0.0
7,2004-02-22,278.19083423227846
8,2004-02-29,0.0
9,2004-03-07,802.354443708224
10,2004-03-14,0.0
11,2004-03-21,1087.6716192640083
12,2004-03-28,181.37032843452346
13,2004-04-04,234.2726251338166
14,2004-04-11,0.0
15,2004-04-18,0.0
16,2004-04-25,0.0
17,2004-05-02,0.0
18,2004-05-09,0.0
19,2004-05-16,189.75660803857272
20,2004-05-23,378.1002480984307
21,2004-05-30,0.0
22,2004-06-06,221.52953096668537
23,2004-06-13,357.4390684351444
24,2004-06-20,226.85897726864485
25,2004-06-27,0.0
26,2004-07-04,375.1755315149458
27,2004-07-11,0.0
28,2004-07-18,552.9696236956064
29,2004-07-25,0.0
30,2004-08-01,354.59684697542485
31,2004-08-08,0.0
32,2004-08-15,354.69268470328944
33,2004-08-22,0.0
34,2004-08-29,0.0
35,2004-09-05,136.2547406227233
36,2004-09-12,0.0
37,2004-09-19,406.25322911595066
38,2004-09-26,188.20041902682806
39,2004-10-03,310.6631879274727
40,2004-10-10,0.0
41,2004-10-17,131.2985745011597
42,2004-10-24,270.7719760167156
43,2004-10-31,0.0
44,2004-11-07,0.0
45,2004-11-14,0.0
46,2004-11-21,0.0
47,2004-11-28,0.0
48,2004-12-05,115.91314838498705
49,2004-12-12,175.66792919343777
50,2004-12-19,212.99141994125614
51,2004-12-26,0.0
52,2005-01-02,0.0
53,2005-01-09,150.35434050945813
54,2005-01-16,0.0
55,2005-01-23,287.7203539261894
56,2005-01-30,220.19679991628087
57,2005-02-06,193.72059908791755
58,2005-02-13,0.0
59,2005-02-20,506.9130679541433
60,2005-02-27,175.1846182356044
61,2005-03-06,175.20168750026667
62,2005-03-13,0.0
63,2005-03-20,170.15768367477034
64,2005-03-27,233.89109188513282
65,2005-04-03,0.0
66,2005-04-10,351.75008654867474
67,2005-04-17,0.0
68,2005-04-24,192.60967605699003
69,2005-05-01,259.6296255337252
70,2005-05-08,145.19069663571523
71,2005-05-15,301.30694288980703
72,2005-05-22,248.81304259668764
73,2005-05-29,0.0
74,2005-06-05,0.0
75,2005-06-12,0.0
76,2005-06-19,187.33409681161163
77,2005-06-26,306.4948942546106
78,2005-07-03,165.5259077289372
79,2005-07-10,0.0
80,2005-07-17,0.0
81,2005-07-24,0.0
82,2005-07-31,0.0
83,2005-08-07,291.9863554671362
84,2005-08-14,0.0
85,2005-08-21,0.0
86,2005-08-28,144.94683057140978
87,2005-09-04,0.0
88,2005-09-11,110.13856463058781
89,2005-09-18,326.34177244486443
90,2005-09-25,0.0
91,2005-10-02,154.67757031222493
92,2005-10-09,136.92537649755545
93,2005-10-16,357.66525022947104
94,2005-10-23,120.0954694666296
95,2005-10-30,230.1043533212416
96,2005-11-06,130.187841595903
97,2005-11-13,351.35409572820004
98,2005-11-20,163.46610604619383
99,2005-11-27,267.8460480031945
100,2005-12-04,146.83641114364312
101,2005-12-11,238.44932713464613
102,2005-12-18,0.0
103,2005-12-25,203.94804090806977
104,2006-01-01,217.80328257196064
105,2006-01-08,146.8284132510601
106,2006-01-15,216.73510182119526
107,2006-01-22,389.96295729833184
108,2006-01-29,0.0
109,2006-02-05,208.57273110827592
110,2006-02-12,341.0129896195287
111,2006-02-19,176.7336181920617
112,2006-02-26,237.1844674193307
113,2006-03-05,88.95637652754516
114,2006-03-12,326.9605239439923
115,2006-03-19,238.2024509022143
116,2006-03-26,223.90850289401595
117,2006-04-02,184.02720464683932
118,2006-04-09,0.0
119,2006-04-16,288.6783832896218
120,2006-04-23,221.65941986388498
121,2006-04-30,121.83079829223091
122,2006-05-07,111.6527389331727
123,2006-05-14,120.1426486627198
124,2006-05-21,217.06774664076286
125,2006-05-28,0.0
126,2006-06-04,108.72825811345686
127,2006-06-11,294.66136835614867
128,2006-06-18,195.76420419774288
129,2006-06-25,175.54219808929267
130,2006-07-02,229.5643242081475
131,2006-07-09,167.3543257400272
132,2006-07-16,227.36842681773126
133,2006-07-23,186.57792621549274
134,2006-07-30,283.18136133951674
135,2006-08-06,0.0
136,2006-08-13,178.29099333054597
137,2006-08-20,200.2886742613112
138,2006-08-27,86.29467290052405
139,2006-09-03,105.19022032771288
140,2006-09-10,166.44944422459446
141,2006-09-17,215.03447722472234
142,2006-09-24,353.039200440883
143,2006-10-01,110.46538300696841
144,2006-10-08,314.0301759503552
145,2006-10-15,142.43502964662989
146,2006-10-22,272.7693857364681
147,2006-10-29,246.43974726614934
148,2006-11-05,80.36411148344455
149,2006-11-12,148.8822577292539
150,2006-11-19,119.10640406951488
151,2006-11-26,207.809691449285
152,2006-12-03,249.51827147736552
153,2006-12-10,122.11131134628356
154,2006-12-17,248.7462943323899
155,2006-12-24,444.43987298449196
156,2006-12-31,0.0
157,2007-01-07,142.28624616270127
158,2007-01-14,190.59083769596307
159,2007-01-21,266.9818134441001
160,2007-01-28,218.84043168106584
161,2007-02-04,170.29757912288568
162,2007-02-11,205.1618563343315
163,2007-02-18,0.0
164,2007-02-25,227.6118958773816
165,2007-03-04,282.2270575305173
166,2007-03-11,308.89945628552863
167,2007-03-18,169.1388120249288
168,2007-03-25,167.68247741170666
169,2007-04-01,155.3622905900035
170,2007-04-08,63.318541919561945
171,2007-04-15,303.1053944925303
172,2007-04-22,124.69062547217125
173,2007-04-29,102.5811290276273
174,2007-05-06,59.37865805182341
175,2007-05-13,202.1450663408418
