,date,/m/0g9pc
0,2004-01-04,9340.404444733464
1,2004-01-11,0.0
2,2004-01-18,20403.801555719576
3,2004-01-25,8716.179932871728
4,2004-02-01,10649.060708064279
5,2004-02-08,7394.335090134965
6,2004-02-15,7708.311638015263
7,2004-02-22,7891.325329932322
8,2004-02-29,4933.57449833895
9,2004-03-07,20319.042686543242
10,2004-03-14,5889.343779300259
11,2004-03-21,0.0
12,2004-03-28,10372.085048048639
13,2004-04-04,21291.785119703894
14,2004-04-11,0.0
15,2004-04-18,7039.451761901411
16,2004-04-25,7660.243136742379
17,2004-05-02,8739.484993839204
18,2004-05-09,4421.171161944295
19,2004-05-16,4835.319351204404
20,2004-05-23,0.0
21,2004-05-30,7120.944000334166
22,2004-06-06,10411.499603088523
23,2004-06-13,12366.792643378123
24,2004-06-20,6161.2813449092755
25,2004-06-27,4166.611717029291
26,2004-07-04,3307.1181494037564
27,2004-07-11,13900.353122133987
28,2004-07-18,6951.312106600273
29,2004-07-25,9040.394078748537
30,2004-08-01,4578.877924792836
31,2004-08-08,8455.693647428852
32,2004-08-15,6349.750723859334
33,2004-08-22,9322.57922204629
34,2004-08-29,10897.03620642722
35,2004-09-05,0.0
36,2004-09-12,3443.531915489754
37,2004-09-19,4867.851352732835
38,2004-09-26,3209.5350416914093
39,2004-10-03,5430.298423826107
40,2004-10-10,8890.679637593556
41,2004-10-17,2762.6371841857767
42,2004-10-24,0.0
43,2004-10-31,6458.788127095144
44,2004-11-07,0.0
45,2004-11-14,3613.4695584275723
46,2004-11-21,3862.80031291716
47,2004-11-28,3814.6846825453863
48,2004-12-05,3714.6182450694423
49,2004-12-12,2644.9392181205335
50,2004-12-19,0.0
51,2004-12-26,0.0
52,2005-01-02,4056.7001769119042
53,2005-01-09,11086.3646881033
54,2005-01-16,2966.468626436918
55,2005-01-23,3202.7449954269505
56,2005-01-30,2528.1349525768433
57,2005-02-06,4738.535033018042
58,2005-02-13,6308.811696829577
59,2005-02-20,4554.513311882917
60,2005-02-27,0.0
61,2005-03-06,4407.462083980402
62,2005-03-13,9345.27155631769
63,2005-03-20,6605.4003547516095
64,2005-03-27,9881.263985646461
65,2005-04-03,12841.302211850174
66,2005-04-10,3979.1093589591073
67,2005-04-17,3013.938720289719
68,2005-04-24,4433.815350822072
69,2005-05-01,6170.083894126052
70,2005-05-08,6718.539573065199
71,2005-05-15,4188.819887366895
72,2005-05-22,5720.797611483556
73,2005-05-29,0.0
74,2005-06-05,2869.6394885678455
75,2005-06-12,3929.0042982101195
76,2005-06-19,3538.72533607406
77,2005-06-26,2520.6517242873997
78,2005-07-03,2955.8803756371008
79,2005-07-10,0.0
80,2005-07-17,5013.823051442371
81,2005-07-24,5107.826625833741
82,2005-07-31,7052.424784903682
83,2005-08-07,5542.613809586603
84,2005-08-14,0.0
85,2005-08-21,4256.364730048122
86,2005-08-28,1720.8054046902057
87,2005-09-04,5599.668416358291
88,2005-09-11,8769.91257952021
89,2005-09-18,12665.073824031857
90,2005-09-25,1987.0858464649743
91,2005-10-02,6814.839106187975
92,2005-10-09,5605.130591250924
93,2005-10-16,4477.042210135423
94,2005-10-23,4133.165686367413
95,2005-10-30,3844.078548650264
96,2005-11-06,0.0
97,2005-11-13,3752.649590119775
98,2005-11-20,0.0
99,2005-11-27,4725.552283065994
100,2005-12-04,1489.6088266863821
101,2005-12-11,5446.61561920177
102,2005-12-18,0.0
103,2005-12-25,4160.652278538382
104,2006-01-01,4153.83136314907
105,2006-01-08,5710.113107799758
106,2006-01-15,1499.4632019445069
107,2006-01-22,4020.5028840648665
108,2006-01-29,3006.662599791904
109,2006-02-05,3859.143673639382
110,2006-02-12,2256.482135516173
111,2006-02-19,2716.9697045220837
112,2006-02-26,5878.57862451909
113,2006-03-05,0.0
114,2006-03-12,2273.271132466133
115,2006-03-19,1417.785181709751
116,2006-03-26,6035.585863081362
117,2006-04-02,5502.78748976829
118,2006-04-09,2923.4783027352073
119,2006-04-16,3715.5767358225125
120,2006-04-23,2219.7221840019133
121,2006-04-30,1758.1914618453336
122,2006-05-07,3253.5901403915022
123,2006-05-14,5393.490504556403
124,2006-05-21,1788.58593669366
125,2006-05-28,3999.7655612276944
126,2006-06-04,5434.316118918468
127,2006-06-11,3736.987611304541
128,2006-06-18,4702.428451485886
129,2006-06-25,3569.4132386963943
130,2006-07-02,3564.0410562616107
131,2006-07-09,3291.2094011683757
132,2006-07-16,4924.028180962396
133,2006-07-23,3805.01629506273
134,2006-07-30,4604.23850302679
135,2006-08-06,6397.189945395676
136,2006-08-13,7472.252022097971
137,2006-08-20,4888.416537119114
138,2006-08-27,4620.753403066201
139,2006-09-03,5029.630982726759
140,2006-09-10,6143.6921065813485
141,2006-09-17,4088.68666994455
142,2006-09-24,2146.4641923033896
143,2006-10-01,3123.2670550761627
144,2006-10-08,3619.293522164614
145,2006-10-15,5177.966841135253
146,2006-10-22,1751.7123265138853
147,2006-10-29,5182.375152069213
148,2006-11-05,0.0
149,2006-11-12,4950.660673201695
150,2006-11-19,3548.57218911098
151,2006-11-26,981.1015452476879
152,2006-12-03,2288.7486430769527
153,2006-12-10,2852.276213268984
154,2006-12-17,5247.930340172111
155,2006-12-24,3314.625665074055
156,2006-12-31,3764.307582510702
157,2007-01-07,0.0
158,2007-01-14,5396.907320389122
159,2007-01-21,3861.4390961280697
160,2007-01-28,2578.1409660126333
161,2007-02-04,2384.6017394269
162,2007-02-11,1826.9497842125982
163,2007-02-18,3007.5876964167905
164,2007-02-25,2979.740326080313
165,2007-03-04,2356.402798829828
