,date,flu
0,2004-01-04,2259.409846934591
1,2004-01-11,1399.2388149910425
2,2004-01-18,1459.2545257153822
3,2004-01-25,1712.1789591730383
4,2004-02-01,1492.0520952483175
5,2004-02-08,1679.6876083490656
6,2004-02-15,1308.9281240655107
7,2004-02-22,1185.1907561224652
8,2004-02-29,837.7657840635379
9,2004-03-07,722.1640463855105
10,2004-03-14,681.1499947005854
11,2004-03-21,573.7667168581427
12,2004-03-28,723.0023052376862
13,2004-04-04,516.3711617051497
14,2004-04-11,495.99120589236503
15,2004-04-18,469.38307461518184
16,2004-04-25,462.7776917786384
17,2004-05-02,488.4986202805466
18,2004-05-09,404.55453096547717
19,2004-05-16,330.2746087142897
20,2004-05-23,371.10697944505347
21,2004-05-30,328.29296198231305
22,2004-06-06,320.32743463802603
23,2004-06-13,325.4679301830137
24,2004-06-20,236.27391392584343
25,2004-06-27,261.4522670013131
26,2004-07-04,471.00501684325036
27,2004-07-11,242.91730084931973
28,2004-07-18,344.0680849601232
29,2004-07-25,324.2157326221529
30,2004-08-01,376.0581662645709
31,2004-08-08,334.0993407688509
32,2004-08-15,359.76522271294095
33,2004-08-22,587.555689762207
34,2004-08-29,444.41194352024155
35,2004-09-05,597.0833361336113
36,2004-09-12,595.6922787078327
37,2004-09-19,1026.2401292753948
38,2004-09-26,1673.020156625022
39,2004-10-03,5789.984055106552
40,2004-10-10,7882.790195325996
41,2004-10-17,7254.7105258993215
42,2004-10-24,5571.731980793494
43,2004-10-31,2868.068819192355
44,2004-11-07,2337.898950329204
45,2004-11-14,2047.2864676152633
46,2004-11-21,1727.108280952471
47,2004-11-28,1864.414125157058
48,2004-12-05,1886.0314241839687
49,2004-12-12,1822.0769690912823
50,2004-12-19,1904.2347999256117
51,2004-12-26,1917.986638367276
52,2005-01-02,1989.481819612686
53,2005-01-09,1855.4916143119174
54,2005-01-16,1840.6126978534237
55,2005-01-23,1915.5659609365491
56,2005-01-30,2119.607626885136
57,2005-02-06,2367.2643644385444
58,2005-02-13,2489.7753391891606
59,2005-02-20,2957.665371500641
60,2005-02-27,2114.193908035431
61,2005-03-06,1696.1517832349982
62,2005-03-13,1570.618548809723
63,2005-03-20,1136.8382489944188
64,2005-03-27,1111.0775624211376
65,2005-04-03,872.168370193186
66,2005-04-10,1152.5532750719542
67,2005-04-17,815.3150481679692
68,2005-04-24,587.6196881821123
69,2005-05-01,590.5140945250622
70,2005-05-08,598.7456160449401
71,2005-05-15,607.4138735685281
72,2005-05-22,715.8222088023209
73,2005-05-29,462.5024925382073
74,2005-06-05,437.85628646839893
75,2005-06-12,462.0393910835673
76,2005-06-19,565.4520416855004
77,2005-06-26,469.87417403976144
78,2005-07-03,549.2349634825424
79,2005-07-10,524.8178174029838
80,2005-07-17,468.84308885007647
81,2005-07-24,602.8353087885758
82,2005-07-31,586.9816566248811
83,2005-08-07,584.789611935958
84,2005-08-14,660.8557767577086
85,2005-08-21,605.8983915732591
86,2005-08-28,605.3982007968127
87,2005-09-04,631.0934524729238
88,2005-09-11,1461.8205670528982
89,2005-09-18,1986.0080767242014
90,2005-09-25,3124.2784552522285
91,2005-10-02,6580.916178206078
92,2005-10-09,7674.594337100785
93,2005-10-16,7026.933529011643
94,2005-10-23,6705.624129336131
95,2005-10-30,9330.484626031583
96,2005-11-06,6587.405843803211
97,2005-11-13,5691.265491990679
98,2005-11-20,3846.1740939392603
99,2005-11-27,3215.1540326783766
100,2005-12-04,3150.067952949612
101,2005-12-11,2811.922128390109
102,2005-12-18,2392.1649394504516
103,2005-12-25,2817.6309954349654
104,2006-01-01,2337.835323450286
105,2006-01-08,2758.9222559741993
106,2006-01-15,2318.768928537274
107,2006-01-22,2622.471546808613
108,2006-01-29,1975.3450844053566
109,2006-02-05,1985.9211412947764
110,2006-02-12,2451.686966294787
111,2006-02-19,2659.654286417786
112,2006-02-26,2911.063882800268
113,2006-03-05,2595.8111648357003
114,2006-03-12,3880.4542669486177
115,2006-03-19,3357.8096336547
116,2006-03-26,2560.4102010114475
117,2006-04-02,2276.192041580948
118,2006-04-09,1552.1064434365537
119,2006-04-16,1719.213266835847
120,2006-04-23,1907.965681521724
121,2006-04-30,2974.5947903784236
122,2006-05-07,3074.2661880285223
123,2006-05-14,1796.1220705698397
124,2006-05-21,2448.4060014398965
125,2006-05-28,2090.237347148295
126,2006-06-04,1383.7675072572852
127,2006-06-11,1095.8929703003078
128,2006-06-18,1068.4486939569804
129,2006-06-25,856.612013218192
130,2006-07-02,832.3195958956987
131,2006-07-09,826.5912700846577
132,2006-07-16,845.760686730354
133,2006-07-23,741.5297937770372
134,2006-07-30,699.0869638807584
135,2006-08-06,785.593527662076
136,2006-08-13,785.7089388672276
137,2006-08-20,678.0794798572427
138,2006-08-27,796.838313304588
139,2006-09-03,852.8587967619965
140,2006-09-10,1004.284891244978
141,2006-09-17,1145.4159200768318
142,2006-09-24,1462.2645050028007
143,2006-10-01,2329.1831340626427
144,2006-10-08,2865.737511493826
145,2006-10-15,3293.3004861114864
146,2006-10-22,3665.88775017177
147,2006-10-29,3437.7639233838863
148,2006-11-05,3109.542047374875
149,2006-11-12,3118.343740884666
150,2006-11-19,1960.4814787208454
151,2006-11-26,2512.236127686827
152,2006-12-03,1923.3213197841196
153,2006-12-10,1994.4606006936428
154,2006-12-17,2043.2738042480942
155,2006-12-24,2002.8531827817326
156,2006-12-31,1948.6568624108836
157,2007-01-07,1826.4407527362341
158,2007-01-14,1767.8497273487694
159,2007-01-21,1731.6920150054364
160,2007-01-28,1718.1028046887393
