,date,/m/0n073
0,2004-01-04,877.1658954494956
1,2004-01-11,1399.7844211174454
2,2004-01-18,1757.4885404903284
3,2004-01-25,909.8233473023878
4,2004-02-01,464.41789774892254
5,2004-02-08,1960.9927533629866
6,2004-02-15,2752.767884099732
7,2004-02-22,903.4176675729113
8,2004-02-29,1283.5486875196084
9,2004-03-07,1054.9896138668655
10,2004-03-14,1133.17584861612
11,2004-03-21,1198.7745916239724
12,2004-03-28,353.1246965845021
13,2004-04-04,1400.0736155682555
14,2004-04-11,0.0
15,2004-04-18,1101.8746286214916
16,2004-04-25,448.1633441718795
17,2004-05-02,724.4277171514296
18,2004-05-09,1106.4373830490213
19,2004-05-16,651.702220451819
20,2004-05-23,503.4768205860269
21,2004-05-30,406.786811885302
22,2004-06-06,1392.9446726157805
23,2004-06-13,727.2157608459263
24,2004-06-20,831.1410927213146
25,2004-06-27,0.0
26,2004-07-04,1145.5740487286507
27,2004-07-11,416.5513516871001
28,2004-07-18,0.0
29,2004-07-25,984.6483537567549
30,2004-08-01,0.0
31,2004-08-08,442.0287728019457
32,2004-08-15,935.2284928375448
33,2004-08-22,1378.4102555627146
34,2004-08-29,627.6034077519087
35,2004-09-05,753.0681595858381
36,2004-09-12,597.1681879121078
37,2004-09-19,567.9303939199059
38,2004-09-26,1651.138827146817
39,2004-10-03,1072.5048034061329
40,2004-10-10,1070.5693833246453
41,2004-10-17,1551.4062572738637
42,2004-10-24,689.1081474040896
43,2004-10-31,843.8311418891403
44,2004-11-07,2187.015497454309
45,2004-11-14,1734.9832235590056
46,2004-11-21,2867.367287784519
47,2004-11-28,700.8352334290745
48,2004-12-05,1537.9332249725876
49,2004-12-12,2494.580648123781
50,2004-12-19,2446.164275125378
51,2004-12-26,2112.4512766288963
52,2005-01-02,2081.4322656709182
53,2005-01-09,1152.9605077442507
54,2005-01-16,1269.7573509189228
55,2005-01-23,1567.466367451435
56,2005-01-30,2399.678791393609
57,2005-02-06,2850.056720962927
58,2005-02-13,2646.127884892428
59,2005-02-20,1863.666895867883
60,2005-02-27,1057.5931590403877
61,2005-03-06,1576.4255824360664
62,2005-03-13,884.6763002922205
63,2005-03-20,847.8952136663662
64,2005-03-27,1253.924057491635
65,2005-04-03,597.0661767275105
