,date,/m/0g9pc
0,2004-01-04,7416.856923244674
1,2004-01-11,6619.404297611577
2,2004-01-18,7042.447314476023
3,2004-01-25,5544.915629587817
4,2004-02-01,2247.0686334491425
5,2004-02-08,7597.691780891178
6,2004-02-15,3390.1828301786413
7,2004-02-22,9658.44788945707
8,2004-02-29,4172.744007063298
9,2004-03-07,0.0
10,2004-03-14,2778.755689751621
11,2004-03-21,5734.537954118468
12,2004-03-28,6933.885958531486
13,2004-04-04,4548.4861137441785
14,2004-04-11,5780.6806967019975
15,2004-04-18,7213.4594884406415
16,2004-04-25,4994.392217038839
17,2004-05-02,5516.844624571338
18,2004-05-09,4218.190672871769
19,2004-05-16,3534.4710392848283
20,2004-05-23,6129.6616996761195
21,2004-05-30,0.0
22,2004-06-06,6179.187382670277
23,2004-06-13,4922.49274810801
24,2004-06-20,10163.928308938015
25,2004-06-27,6077.749300406164
26,2004-07-04,0.0
27,2004-07-11,11703.587049569767
28,2004-07-18,7827.500360334191
29,2004-07-25,6856.2625221991575
30,2004-08-01,0.0
31,2004-08-08,7140.417544839666
32,2004-08-15,9380.768922003557
33,2004-08-22,0.0
34,2004-08-29,3543.400241310866
35,2004-09-05,2946.2409236999647
36,2004-09-12,5691.482141206001
37,2004-09-19,0.0
38,2004-09-26,2749.068493004295
39,2004-10-03,5667.031083422531
40,2004-10-10,6853.323629795361
41,2004-10-17,0.0
42,2004-10-24,3239.196957619072
43,2004-10-31,0.0
44,2004-11-07,4301.906381066579
45,2004-11-14,6957.382316725283
46,2004-11-21,5064.416532978991
47,2004-11-28,2657.1590917780627
48,2004-12-05,0.0
49,2004-12-12,3314.0699276891382
50,2004-12-19,0.0
51,2004-12-26,0.0
52,2005-01-02,2851.3961048195015
53,2005-01-09,9694.568630166048
54,2005-01-16,2516.3031097696794
55,2005-01-23,6391.277645921648
56,2005-01-30,6239.846836165331
57,2005-02-06,3249.019852444877
58,2005-02-13,7958.066229494302
59,2005-02-20,4804.773054455719
60,2005-02-27,4113.636877553908
61,2005-03-06,4775.970292799568
62,2005-03-13,1931.6637013963061
63,2005-03-20,4644.514764841491
64,2005-03-27,1591.4679116882803
65,2005-04-03,4625.333562691285
66,2005-04-10,7496.300026818134
67,2005-04-17,3121.6698464209367
68,2005-04-24,3754.918213450308
69,2005-05-01,4300.564942328035
70,2005-05-08,4418.439328023325
71,2005-05-15,4463.574768122646
72,2005-05-22,4067.582006973584
73,2005-05-29,6870.8870014809045
74,2005-06-05,0.0
75,2005-06-12,4539.658870170209
76,2005-06-19,9983.71528691818
77,2005-06-26,2439.157920076806
78,2005-07-03,2471.9964702529105
79,2005-07-10,7591.75980282104
80,2005-07-17,6713.847276537466
81,2005-07-24,3714.3720263748
82,2005-07-31,6513.919954303923
83,2005-08-07,2339.960799124119
84,2005-08-14,8101.383005757467
85,2005-08-21,0.0
86,2005-08-28,3114.802406628318
87,2005-09-04,1442.889892643529
88,2005-09-11,3659.311595184572
89,2005-09-18,7385.794859579121
90,2005-09-25,3784.178607948743
91,2005-10-02,4080.0553107178
92,2005-10-09,5268.2046137208235
93,2005-10-16,6604.257680308716
94,2005-10-23,3098.1828752986007
95,2005-10-30,4862.958266972651
96,2005-11-06,3034.629725342305
97,2005-11-13,4269.668765756874
98,2005-11-20,6376.533826021646
99,2005-11-27,2951.8437784289144
100,2005-12-04,2865.0976096682984
101,2005-12-11,3452.3855443256634
102,2005-12-18,3286.7738210617276
103,2005-12-25,2375.3530640116396
104,2006-01-01,5760.091060190369
105,2006-01-08,4342.421161259962
106,2006-01-15,3471.310428770585
107,2006-01-22,3023.760783330977
108,2006-01-29,5374.997332141158
109,2006-02-05,3644.0274006922355
110,2006-02-12,2070.076612618419
111,2006-02-19,2839.335556086895
112,2006-02-26,3323.3757506743777
113,2006-03-05,1017.9768269530877
114,2006-03-12,2747.4364783608708
115,2006-03-19,4017.2389416276046
116,2006-03-26,2511.915492172587
117,2006-04-02,4749.700338633526
