,date,low body
0,2004-01-04,130.9051405468926
1,2004-01-11,102.79496549945287
2,2004-01-18,88.09573267076364
3,2004-01-25,53.10552376616729
4,2004-02-01,75.51901614852369
5,2004-02-08,55.93403450756782
6,2004-02-15,33.2965519729245
7,2004-02-22,74.85439752721517
8,2004-02-29,119.7459169626317
9,2004-03-07,88.75336417535843
10,2004-03-14,102.63443884562112
11,2004-03-21,37.832273663157295
12,2004-03-28,83.87478216862307
13,2004-04-04,58.21499816096045
14,2004-04-11,121.19964491079115
15,2004-04-18,61.56571484945166
16,2004-04-25,0.0
17,2004-05-02,69.44895255713159
18,2004-05-09,97.2476560463278
19,2004-05-16,139.70172675032765
20,2004-05-23,95.69672182099877
21,2004-05-30,83.97439262402628
22,2004-06-06,50.40445435137775
23,2004-06-13,66.79856700274006
24,2004-06-20,76.31962039944642
25,2004-06-27,54.63214302654282
26,2004-07-04,21.01076149314945
27,2004-07-11,65.94433069969993
28,2004-07-18,118.52495302000557
29,2004-07-25,94.36553218818909
30,2004-08-01,116.79201565276459
31,2004-08-08,47.83627797441684
32,2004-08-15,45.26050889099363
33,2004-08-22,61.42003683656022
34,2004-08-29,48.255805021153236
35,2004-09-05,83.49832219444805
36,2004-09-12,98.00611823448328
37,2004-09-19,61.81410335876612
38,2004-09-26,77.3555668484511
39,2004-10-03,98.65700999552813
40,2004-10-10,91.66418351241794
41,2004-10-17,105.01695660993305
42,2004-10-24,108.23409853012595
43,2004-10-31,118.60000974853854
44,2004-11-07,58.93608167332408
45,2004-11-14,47.9211159889843
46,2004-11-21,26.551326210389323
47,2004-11-28,70.01197760222848
48,2004-12-05,59.25539898815675
49,2004-12-12,46.59042139615182
50,2004-12-19,127.98847973170761
51,2004-12-26,32.94414564436157
52,2005-01-02,79.12444493824042
53,2005-01-09,53.225652850651976
54,2005-01-16,92.6010393397164
55,2005-01-23,88.66992932456222
56,2005-01-30,108.05962894833844
57,2005-02-06,160.96634983302374
58,2005-02-13,69.17713278023223
59,2005-02-20,79.02081752874341
60,2005-02-27,47.64422079566505
61,2005-03-06,65.3151598172302
62,2005-03-13,75.68772206914868
63,2005-03-20,120.08155228056229
64,2005-03-27,81.87136094181719
65,2005-04-03,74.39876821723277
66,2005-04-10,79.36008479399041
67,2005-04-17,42.89185772241129
68,2005-04-24,106.25253641162138
69,2005-05-01,100.39023190993852
70,2005-05-08,108.89170313432646
71,2005-05-15,74.67999019847274
72,2005-05-22,41.18069237540011
73,2005-05-29,81.84438930922428
74,2005-06-05,58.78854328836638
75,2005-06-12,30.712057225678493
76,2005-06-19,72.5283908587534
77,2005-06-26,104.61140152930368
78,2005-07-03,72.11850925890124
79,2005-07-10,111.17571769561854
80,2005-07-17,40.05175180149868
81,2005-07-24,96.13794191962256
82,2005-07-31,82.16469317447451
83,2005-08-07,81.41535912652455
84,2005-08-14,76.41289868985352
85,2005-08-21,70.71711702895767
86,2005-08-28,77.46230988730899
87,2005-09-04,77.94110078651302
88,2005-09-11,54.305533405140295
89,2005-09-18,0.0
90,2005-09-25,65.34436592223751
91,2005-10-02,51.4450913714023
92,2005-10-09,75.87209893301059
93,2005-10-16,68.24935406865599
94,2005-10-23,120.74618463144483
95,2005-10-30,77.48941054814946
96,2005-11-06,106.12408773325282
97,2005-11-13,49.77523625714245
98,2005-11-20,106.90993375664837
99,2005-11-27,52.90086818498595
100,2005-12-04,78.81006440570548
101,2005-12-11,88.95794826762513
102,2005-12-18,75.70196214907531
103,2005-12-25,83.37501471926308
104,2006-01-01,97.43967952334897
105,2006-01-08,91.12044563142929
106,2006-01-15,84.70280249785637
107,2006-01-22,60.63005296147731
108,2006-01-29,62.15859673589505
109,2006-02-05,64.25632657814674
110,2006-02-12,62.73197975850492
111,2006-02-19,100.95093547887699
112,2006-02-26,76.89060204178645
113,2006-03-05,64.36216434239446
114,2006-03-12,54.916643915076364
115,2006-03-19,64.768262924561
116,2006-03-26,67.81732351079438
117,2006-04-02,79.01017272893573
118,2006-04-09,58.84246701559996
119,2006-04-16,56.3839954961664
120,2006-04-23,64.53919931663825
121,2006-04-30,28.821364492106575
122,2006-05-07,68.54158128485581
123,2006-05-14,40.80020780144023
124,2006-05-21,62.305779565053506
125,2006-05-28,44.637937617870456
126,2006-06-04,46.95038485091257
127,2006-06-11,54.30349992177361
128,2006-06-18,41.57588961451387
129,2006-06-25,38.333011346083566
130,2006-07-02,41.09649936395316
131,2006-07-09,47.3228484851425
132,2006-07-16,78.13865002971954
133,2006-07-23,53.44191780731342
134,2006-07-30,72.86587037270904
135,2006-08-06,64.81389285997214
136,2006-08-13,79.31902373474773
137,2006-08-20,68.07564592731642
138,2006-08-27,76.92557584627627
139,2006-09-03,81.7151042785279
140,2006-09-10,69.07062728843835
141,2006-09-17,36.520650434776314
142,2006-09-24,91.65322504094398
143,2006-10-01,66.65425534423734
144,2006-10-08,63.66291077005324
145,2006-10-15,72.20299303636735
146,2006-10-22,71.69811836169296
147,2006-10-29,53.4499350122743
148,2006-11-05,60.595419796895456
149,2006-11-12,60.02763439761326
150,2006-11-19,71.54505087405191
151,2006-11-26,43.01942552188949
152,2006-12-03,70.6469251966612
153,2006-12-10,62.586568272096144
154,2006-12-17,65.9324636279442
155,2006-12-24,66.73343637150256
156,2006-12-31,95.62764937401984
157,2007-01-07,99.3226530483586
158,2007-01-14,81.74327352774655
159,2007-01-21,103.66024805263706
160,2007-01-28,111.46341149094762
161,2007-02-04,90.36762888521518
162,2007-02-11,107.80169242917269
163,2007-02-18,93.94066698681297
