,date,/m/0g9pc
176,2007-05-20,3084.893070184311
177,2007-05-27,8043.511064089357
178,2007-06-03,4800.550988477711
179,2007-06-10,2074.0920110315774
180,2007-06-17,0.0
181,2007-06-24,0.0
182,2007-07-01,1034.1500407708172
183,2007-07-08,1858.5242674832323
184,2007-07-15,2150.8914765816116
185,2007-07-22,1337.9479771180881
186,2007-07-29,1827.9763068060543
187,2007-08-05,3203.95809662865
188,2007-08-12,3801.961020262155
189,2007-08-19,2906.536842061415
190,2007-08-26,4310.219553467285
191,2007-09-02,3866.143652321892
192,2007-09-09,3104.6757970704857
193,2007-09-16,5800.241316733074
194,2007-09-23,973.0749150131877
195,2007-09-30,0.0
196,2007-10-07,2229.2874921141333
197,2007-10-14,2404.3406992817254
198,2007-10-21,3640.379622012109
199,2007-10-28,1920.2514232719438
200,2007-11-04,4337.641183233736
201,2007-11-11,2945.5757211927894
202,2007-11-18,1560.0323545707035
203,2007-11-25,0.0
204,2007-12-02,1102.509826108551
205,2007-12-09,2154.5001279819808
206,2007-12-16,3148.1690498266357
207,2007-12-23,0.0
208,2007-12-30,2446.895238637411
209,2008-01-06,3149.5665962535945
210,2008-01-13,3643.8778218921184
211,2008-01-20,1636.9971985700884
212,2008-01-27,0.0
213,2008-02-03,1071.3732889859616
214,2008-02-10,0.0
215,2008-02-17,3270.0709298780203
216,2008-02-24,1828.5106678567993
217,2008-03-02,2336.6729801025685
218,2008-03-09,3142.351564334292
219,2008-03-16,2330.572777062601
220,2008-03-23,3626.5538665281115
221,2008-03-30,0.0
222,2008-04-06,1438.7752219075314
223,2008-04-13,2436.0793016159664
224,2008-04-20,2531.9161533394695
225,2008-04-27,2728.209202250447
226,2008-05-04,3095.0288564731336
227,2008-05-11,1932.4568054744602
228,2008-05-18,1364.853163170828
229,2008-05-25,2326.3084598885566
230,2008-06-01,1691.257238622036
231,2008-06-08,0.0
232,2008-06-15,2069.1659766031466
233,2008-06-22,2276.2072885290154
234,2008-06-29,1947.549837041638
235,2008-07-06,2865.6718294791594
