,date,/m/0n073
0,2004-01-04,1920.1928803699905
1,2004-01-11,2926.8060461085133
2,2004-01-18,2791.264578178089
3,2004-01-25,0.0
4,2004-02-01,2193.381687589094
5,2004-02-08,2825.4529336612995
6,2004-02-15,2396.2620231099772
7,2004-02-22,2028.607494530948
8,2004-02-29,0.0
9,2004-03-07,0.0
10,2004-03-14,866.6914487984636
11,2004-03-21,2408.883086874876
12,2004-03-28,0.0
13,2004-04-04,3365.4503908971146
14,2004-04-11,0.0
15,2004-04-18,1051.4814966009585
16,2004-04-25,1101.5400761187673
17,2004-05-02,0.0
18,2004-05-09,0.0
19,2004-05-16,0.0
20,2004-05-23,0.0
21,2004-05-30,0.0
22,2004-06-06,2062.8416259372248
23,2004-06-13,0.0
24,2004-06-20,0.0
25,2004-06-27,0.0
26,2004-07-04,982.0719602568222
27,2004-07-11,0.0
28,2004-07-18,0.0
29,2004-07-25,0.0
30,2004-08-01,0.0
31,2004-08-08,839.5939073122955
32,2004-08-15,1539.4160484750632
33,2004-08-22,2364.007675010052
34,2004-08-29,3931.5080379754727
35,2004-09-05,1020.8167753387344
36,2004-09-12,0.0
37,2004-09-19,1279.0344206646166
38,2004-09-26,2688.3457265465727
39,2004-10-03,2109.9609895974695
40,2004-10-10,0.0
41,2004-10-17,1576.0007100838127
42,2004-10-24,879.1306483529995
43,2004-10-31,1102.1721632807582
44,2004-11-07,1773.4738000519724
45,2004-11-14,1767.5483840412649
46,2004-11-21,0.0
47,2004-11-28,823.0588495444312
48,2004-12-05,1349.0729203156989
49,2004-12-12,0.0
50,2004-12-19,1734.7911980205427
51,2004-12-26,1840.9484597534545
52,2005-01-02,666.4083265132384
53,2005-01-09,1486.2676841969626
54,2005-01-16,1172.6349407222178
55,2005-01-23,3344.7326930997438
56,2005-01-30,2585.8460447808848
57,2005-02-06,1523.0426611914284
58,2005-02-13,2541.5441787402096
59,2005-02-20,2712.4376915193147
60,2005-02-27,2523.3051791410985
61,2005-03-06,0.0
62,2005-03-13,839.338314738819
63,2005-03-20,2425.8230382478737
64,2005-03-27,479.82174865231957
65,2005-04-03,1746.2590709377068
66,2005-04-10,774.3123356091621
67,2005-04-17,909.901547878164
68,2005-04-24,1481.5908355495885
69,2005-05-01,825.9019737833054
70,2005-05-08,648.7167768474271
71,2005-05-15,1495.7226643093004
72,2005-05-22,788.2122659043558
73,2005-05-29,1717.2833398297282
74,2005-06-05,1070.7808399168002
75,2005-06-12,816.6519344191684
76,2005-06-19,643.2931882333146
77,2005-06-26,517.4726985308988
78,2005-07-03,0.0
79,2005-07-10,0.0
80,2005-07-17,601.0608333801166
81,2005-07-24,977.3847689516616
82,2005-07-31,1355.3502563043319
83,2005-08-07,1043.6554854716107
84,2005-08-14,549.9201466259847
85,2005-08-21,942.8615363589174
86,2005-08-28,1033.2905214829207
87,2005-09-04,1084.0842542512298
88,2005-09-11,0.0
89,2005-09-18,1659.0924682108484
90,2005-09-25,807.438648130764
91,2005-10-02,991.0127321666148
92,2005-10-09,0.0
93,2005-10-16,2377.305279310188
94,2005-10-23,2081.3560939513964
95,2005-10-30,1649.7352557441445
96,2005-11-06,1808.486185643507
97,2005-11-13,1396.145315855696
98,2005-11-20,1175.7851453754022
99,2005-11-27,1789.4619550240568
100,2005-12-04,1573.0006610514245
101,2005-12-11,831.8589137063166
102,2005-12-18,1923.5878391652434
103,2005-12-25,2753.151568975868
104,2006-01-01,1339.1446551911886
105,2006-01-08,1546.1456081132228
106,2006-01-15,1771.9975285228
107,2006-01-22,1986.2649394684672
108,2006-01-29,1655.2708044784638
109,2006-02-05,1865.9435048399992
110,2006-02-12,1425.108643279931
111,2006-02-19,1676.3175058539075
112,2006-02-26,2397.320047792051
113,2006-03-05,1190.7789700026963
114,2006-03-12,1139.8362825672061
115,2006-03-19,1914.563863165035
116,2006-03-26,553.9653139994439
117,2006-04-02,921.3481745471831
118,2006-04-09,435.49970442204614
119,2006-04-16,604.534972772391
120,2006-04-23,734.4149152080755
121,2006-04-30,0.0
122,2006-05-07,466.4993231177121
123,2006-05-14,697.6547729958036
124,2006-05-21,1539.3433094420438
125,2006-05-28,1204.1459785998402
126,2006-06-04,1358.8098322974065
127,2006-06-11,569.8458765062493
128,2006-06-18,1023.4092298250931
129,2006-06-25,956.8815048945048
130,2006-07-02,0.0
131,2006-07-09,532.5631297190425
132,2006-07-16,0.0
133,2006-07-23,0.0
134,2006-07-30,724.6396153887716
135,2006-08-06,1441.3419460880918
136,2006-08-13,375.65800128474297
137,2006-08-20,412.3328972768788
138,2006-08-27,884.2568931302062
139,2006-09-03,1258.3550678587683
140,2006-09-10,2005.5018367614878
141,2006-09-17,1129.9158035440664
142,2006-09-24,1258.4075035531143
143,2006-10-01,1179.9312992139153
144,2006-10-08,1865.0376541732346
145,2006-10-15,1322.0260584478576
146,2006-10-22,1746.4552821757538
147,2006-10-29,1550.005654666986
148,2006-11-05,1637.2848271305336
149,2006-11-12,1537.0161098878784
150,2006-11-19,1650.467043187396
151,2006-11-26,1806.8402216112654
152,2006-12-03,2458.3072311253627
153,2006-12-10,1232.2135580159108
154,2006-12-17,896.7901106891048
155,2006-12-24,2036.8407817858972
156,2006-12-31,1947.4730336468176
157,2007-01-07,1897.0609371673993
158,2007-01-14,1416.999299078138
159,2007-01-21,1716.446233197097
160,2007-01-28,1590.8139561901771
161,2007-02-04,1808.5598162865076
162,2007-02-11,1591.1937779367277
163,2007-02-18,990.5139287845308
164,2007-02-25,1554.209993435567
165,2007-03-04,1287.4338246557743
