,date,/m/0j5fv
194,2007-09-23,3023.8516059348867
195,2007-09-30,0.0
196,2007-10-07,0.0
197,2007-10-14,0.0
198,2007-10-21,2613.5946236101518
199,2007-10-28,0.0
200,2007-11-04,2406.9187861714345
201,2007-11-11,0.0
202,2007-11-18,0.0
203,2007-11-25,0.0
204,2007-12-02,3590.2078520390482
205,2007-12-09,0.0
206,2007-12-16,9196.702042530513
207,2007-12-23,2436.4073871214523
208,2007-12-30,0.0
209,2008-01-06,0.0
210,2008-01-13,0.0
211,2008-01-20,0.0
212,2008-01-27,0.0
213,2008-02-03,2490.0613660528015
214,2008-02-10,0.0
215,2008-02-17,1790.5436501454055
216,2008-02-24,0.0
217,2008-03-02,0.0
218,2008-03-09,2860.8083818499153
219,2008-03-16,0.0
220,2008-03-23,0.0
221,2008-03-30,0.0
222,2008-04-06,2111.7188319805286
223,2008-04-13,0.0
224,2008-04-20,2557.8760607072472
225,2008-04-27,1622.6722434514402
226,2008-05-04,1532.5650339735046
227,2008-05-11,2417.4892297713113
228,2008-05-18,0.0
229,2008-05-25,0.0
230,2008-06-01,0.0
231,2008-06-08,0.0
232,2008-06-15,0.0
233,2008-06-22,2621.2571974054804
234,2008-06-29,0.0
235,2008-07-06,0.0
236,2008-07-13,0.0
237,2008-07-20,1700.9249208179824
238,2008-07-27,5286.09120016736
239,2008-08-03,2707.983147159203
240,2008-08-10,0.0
241,2008-08-17,3997.208311806894
242,2008-08-24,3575.6648261831488
243,2008-08-31,4328.309629884909
244,2008-09-07,0.0
245,2008-09-14,0.0
246,2008-09-21,0.0
247,2008-09-28,0.0
248,2008-10-05,2838.7643897241924
249,2008-10-12,2045.8583230348686
250,2008-10-19,0.0
251,2008-10-26,1819.940983902602
252,2008-11-02,0.0
253,2008-11-09,2710.307344010704
254,2008-11-16,4191.511623757155
255,2008-11-23,2075.019498761244
256,2008-11-30,0.0
257,2008-12-07,0.0
258,2008-12-14,5879.446460131661
259,2008-12-21,0.0
260,2008-12-28,0.0
261,2009-01-04,1738.604036983798
262,2009-01-11,0.0
263,2009-01-18,0.0
264,2009-01-25,0.0
265,2009-02-01,2316.54376048806
266,2009-02-08,1635.1325263804683
267,2009-02-15,0.0
268,2009-02-22,0.0
269,2009-03-01,1535.1080775333205
270,2009-03-08,2086.834811442641
271,2009-03-15,0.0
272,2009-03-22,4862.382777245267
273,2009-03-29,3152.7629683843884
274,2009-04-05,3523.2477366607845
275,2009-04-12,0.0
276,2009-04-19,0.0
277,2009-04-26,2796.0556717821864
278,2009-05-03,0.0
279,2009-05-10,2581.6503212858524
280,2009-05-17,0.0
281,2009-05-24,0.0
282,2009-05-31,1880.3927831188996
283,2009-06-07,3929.1690222783777
284,2009-06-14,0.0
285,2009-06-21,1522.133478216622
286,2009-06-28,2083.2039396757655
287,2009-07-05,2130.39178685044
288,2009-07-12,1934.0469838369243
289,2009-07-19,0.0
290,2009-07-26,0.0
291,2009-08-02,0.0
292,2009-08-09,1565.5658453059316
293,2009-08-16,2819.562998229468
294,2009-08-23,3632.9262992563977
295,2009-08-30,0.0
296,2009-09-06,0.0
297,2009-09-13,3923.3696157281593
298,2009-09-20,0.0
299,2009-09-27,2848.704090253282
300,2009-10-04,0.0
301,2009-10-11,2747.1659750671947
302,2009-10-18,0.0
303,2009-10-25,3694.67605208649
304,2009-11-01,0.0
305,2009-11-08,0.0
306,2009-11-15,3276.348899345798
307,2009-11-22,2491.2503746665043
308,2009-11-29,6003.886443764841
309,2009-12-06,0.0
310,2009-12-13,1575.592387626986
311,2009-12-20,0.0
312,2009-12-27,0.0
313,2010-01-03,3659.400456914527
314,2010-01-10,5893.9087703321065
315,2010-01-17,5349.816675386042
316,2010-01-24,1671.3565980358435
317,2010-01-31,0.0
318,2010-02-07,1892.1966142478082
319,2010-02-14,0.0
320,2010-02-21,0.0
321,2010-02-28,2336.0062723599976
322,2010-03-07,1264.6391760301879
323,2010-03-14,0.0
324,2010-03-21,0.0
325,2010-03-28,0.0
326,2010-04-04,0.0
327,2010-04-11,2760.926023924253
328,2010-04-18,0.0
329,2010-04-25,2678.0782200556127
330,2010-05-02,0.0
331,2010-05-09,0.0
332,2010-05-16,5264.236328856339
333,2010-05-23,8266.666507330003
334,2010-05-30,0.0
