,date,flu
0,2004-01-04,2428.8525802303425
1,2004-01-11,2063.0374620723064
2,2004-01-18,0.0
3,2004-01-25,1779.3875614233011
4,2004-02-01,3364.5925962976225
5,2004-02-08,1203.4215551844798
6,2004-02-15,2100.3806401098814
7,2004-02-22,2084.75888194156
8,2004-02-29,0.0
9,2004-03-07,0.0
10,2004-03-14,3241.7396598154255
11,2004-03-21,1606.3767488320584
12,2004-03-28,884.1969190132359
13,2004-04-04,0.0
14,2004-04-11,0.0
15,2004-04-18,1113.7694871481974
16,2004-04-25,0.0
17,2004-05-02,579.8630742888942
18,2004-05-09,748.1406245542116
19,2004-05-16,0.0
20,2004-05-23,0.0
21,2004-05-30,670.1937717163275
22,2004-06-06,0.0
23,2004-06-13,0.0
24,2004-06-20,0.0
25,2004-06-27,0.0
26,2004-07-04,0.0
27,2004-07-11,0.0
28,2004-07-18,0.0
29,2004-07-25,787.974984030983
30,2004-08-01,1181.7542729625688
31,2004-08-08,0.0
32,2004-08-15,0.0
33,2004-08-22,1312.075235963206
34,2004-08-29,0.0
35,2004-09-05,0.0
36,2004-09-12,941.7234025157259
37,2004-09-19,1390.044974153254
38,2004-09-26,2319.703403715389
39,2004-10-03,8498.563177775235
40,2004-10-10,8256.035062397596
41,2004-10-17,7419.898221519436
42,2004-10-24,5774.76072266452
43,2004-10-31,3268.6613798610592
44,2004-11-07,2705.187859549021
45,2004-11-14,0.0
46,2004-11-21,3724.2924916249494
47,2004-11-28,1316.9320030163528
48,2004-12-05,1337.0256546338169
49,2004-12-12,1685.6453886178647
50,2004-12-19,1501.948064614689
51,2004-12-26,1568.164923397027
52,2005-01-02,2108.0085438276333
53,2005-01-09,2390.0708489136196
54,2005-01-16,2952.784778188608
55,2005-01-23,2007.424353514962
56,2005-01-30,2720.0977375603347
57,2005-02-06,1957.0355833049146
58,2005-02-13,2339.8657684176155
59,2005-02-20,3054.4844307487897
60,2005-02-27,1321.451701486431
61,2005-03-06,1820.9718100070402
62,2005-03-13,2346.28505507611
63,2005-03-20,1020.2189152497145
64,2005-03-27,759.6192879632233
65,2005-04-03,2036.7794986898384
66,2005-04-10,1783.8284724724858
67,2005-04-17,1681.9733757298338
68,2005-04-24,1627.4133721045798
69,2005-05-01,0.0
70,2005-05-08,524.042425235322
71,2005-05-15,594.6179711324994
72,2005-05-22,0.0
73,2005-05-29,0.0
74,2005-06-05,0.0
75,2005-06-12,0.0
76,2005-06-19,443.84949932639705
77,2005-06-26,1118.4710021282099
78,2005-07-03,863.6440035952629
79,2005-07-10,531.3846839100513
80,2005-07-17,460.79354758189976
81,2005-07-24,1034.2117011153646
82,2005-07-31,395.10618118031346
83,2005-08-07,0.0
84,2005-08-14,617.1418441343213
85,2005-08-21,1838.947560313341
86,2005-08-28,618.2283734189126
87,2005-09-04,616.0801675169989
88,2005-09-11,980.3380035533517
89,2005-09-18,1966.949369053514
90,2005-09-25,3420.5239191095893
91,2005-10-02,6082.459378292538
92,2005-10-09,9495.656149084374
93,2005-10-16,7968.685005718787
94,2005-10-23,6077.9475087232195
95,2005-10-30,9660.63011219142
96,2005-11-06,7325.018410235539
97,2005-11-13,5619.314610851139
98,2005-11-20,3780.6006269461977
99,2005-11-27,3002.3501893370994
100,2005-12-04,1860.5252531019632
101,2005-12-11,2565.387079351308
102,2005-12-18,2850.2739904560362
103,2005-12-25,1474.0083720464384
104,2006-01-01,2370.091772768271
105,2006-01-08,2852.845062492231
106,2006-01-15,3249.4978484390253
107,2006-01-22,2262.891408078805
108,2006-01-29,2943.9785007129108
109,2006-02-05,2566.9049282776373
110,2006-02-12,1821.4166592421066
111,2006-02-19,2075.73103565965
112,2006-02-26,2701.5325755395957
113,2006-03-05,3736.6382161769257
114,2006-03-12,5561.918724576044
115,2006-03-19,3094.600495887164
116,2006-03-26,2662.4143051837905
117,2006-04-02,1591.8255051060903
118,2006-04-09,1809.6569072350549
119,2006-04-16,2181.5799307098396
120,2006-04-23,2371.221357731009
121,2006-04-30,2697.840125606776
