,date,strep
0,2004-01-04,1407.6142164900655
1,2004-01-11,0.0
2,2004-01-18,859.4863741778752
3,2004-01-25,0.0
4,2004-02-01,2112.12270173199
5,2004-02-08,545.727388279023
6,2004-02-15,1345.085116933859
7,2004-02-22,0.0
8,2004-02-29,1938.6997304734327
9,2004-03-07,0.0
10,2004-03-14,2184.4256138419487
11,2004-03-21,0.0
12,2004-03-28,710.9372647847925
13,2004-04-04,1461.4604607563308
14,2004-04-11,3162.8665667337873
15,2004-04-18,1793.1467483956112
16,2004-04-25,0.0
17,2004-05-02,1146.9198121858258
18,2004-05-09,0.0
19,2004-05-16,0.0
20,2004-05-23,0.0
21,2004-05-30,0.0
22,2004-06-06,0.0
23,2004-06-13,0.0
24,2004-06-20,0.0
25,2004-06-27,0.0
26,2004-07-04,2267.9019329390653
27,2004-07-11,0.0
28,2004-07-18,451.20036522874096
29,2004-07-25,948.3897310234271
30,2004-08-01,651.278749056321
31,2004-08-08,0.0
32,2004-08-15,0.0
33,2004-08-22,898.6571931843511
34,2004-08-29,697.4229530372536
35,2004-09-05,0.0
36,2004-09-12,0.0
37,2004-09-19,0.0
38,2004-09-26,0.0
39,2004-10-03,0.0
40,2004-10-10,0.0
41,2004-10-17,586.9306720387474
42,2004-10-24,778.9822016792685
43,2004-10-31,0.0
44,2004-11-07,0.0
45,2004-11-14,1132.4602947343278
46,2004-11-21,0.0
47,2004-11-28,732.6922442927084
48,2004-12-05,365.7148417368295
49,2004-12-12,0.0
50,2004-12-19,1685.2034784547363
51,2004-12-26,1892.0003597571656
52,2005-01-02,927.9782755885083
53,2005-01-09,765.3757673150723
54,2005-01-16,0.0
55,2005-01-23,0.0
56,2005-01-30,429.474700340153
57,2005-02-06,901.8702691064258
58,2005-02-13,692.9346715634736
59,2005-02-20,740.2457429388725
60,2005-02-27,862.931156778319
61,2005-03-06,0.0
62,2005-03-13,920.107825234271
63,2005-03-20,1138.3529031791504
64,2005-03-27,610.2160567332159
65,2005-04-03,1183.645666215776
66,2005-04-10,831.1237679510009
67,2005-04-17,0.0
68,2005-04-24,1066.96245594604
69,2005-05-01,890.058938243766
70,2005-05-08,1538.3429988908908
71,2005-05-15,829.332193146436
72,2005-05-22,852.6133467072505
73,2005-05-29,893.1100820823061
74,2005-06-05,919.8954885891329
75,2005-06-12,0.0
76,2005-06-19,821.7531478485565
77,2005-06-26,1744.3423010266038
78,2005-07-03,329.2791660545574
79,2005-07-10,541.525463240737
80,2005-07-17,611.3072478492272
81,2005-07-24,712.9118853028252
82,2005-07-31,0.0
83,2005-08-07,501.17230419364694
84,2005-08-14,755.0748757200073
85,2005-08-21,637.1628885805493
86,2005-08-28,602.4173705104931
87,2005-09-04,481.1082019341122
88,2005-09-11,969.2915212847432
89,2005-09-18,0.0
90,2005-09-25,747.9535651802031
91,2005-10-02,613.5504741221475
92,2005-10-09,0.0
93,2005-10-16,631.0927767708304
94,2005-10-23,0.0
95,2005-10-30,777.3179758050629
96,2005-11-06,0.0
97,2005-11-13,919.3113407038568
98,2005-11-20,988.0551474890508
99,2005-11-27,523.2883384807831
100,2005-12-04,1181.5658272214816
101,2005-12-11,788.8334629778777
102,2005-12-18,0.0
103,2005-12-25,0.0
104,2006-01-01,0.0
105,2006-01-08,703.0189642976659
106,2006-01-15,1276.0489651209225
107,2006-01-22,1173.4613789791247
108,2006-01-29,781.1571295797982
109,2006-02-05,829.9136133570311
110,2006-02-12,754.0156411295005
111,2006-02-19,0.0
112,2006-02-26,261.35701557027164
113,2006-03-05,1320.0764434113873
114,2006-03-12,606.8580310732405
115,2006-03-19,826.45249313555
116,2006-03-26,854.8783226663516
117,2006-04-02,542.2355945434155
118,2006-04-09,1078.4228584052614
119,2006-04-16,859.1369317809591
120,2006-04-23,437.22766992719176
121,2006-04-30,581.993641074426
122,2006-05-07,635.9145874184654
123,2006-05-14,355.01772939544355
124,2006-05-21,964.8546085825658
125,2006-05-28,722.1031918447387
126,2006-06-04,393.0240307540411
127,2006-06-11,288.97531722934485
128,2006-06-18,656.1719788703743
129,2006-06-25,183.9718823949883
130,2006-07-02,958.2760095922519
131,2006-07-09,439.39077569902696
132,2006-07-16,928.2267739533913
133,2006-07-23,365.19216213829964
134,2006-07-30,546.0355115623403
135,2006-08-06,308.2035772662141
136,2006-08-13,850.2931848479016
137,2006-08-20,633.3224695456079
138,2006-08-27,668.6805423810512
139,2006-09-03,534.968979666691
140,2006-09-10,962.0230678835709
141,2006-09-17,288.3751838843967
142,2006-09-24,428.6785574369889
143,2006-10-01,691.1747813348776
144,2006-10-08,722.4964194911423
145,2006-10-15,914.5860371665625
146,2006-10-22,1048.3456843296851
147,2006-10-29,464.1616457604871
148,2006-11-05,548.2852693284474
149,2006-11-12,538.0029182643523
150,2006-11-19,408.1258555070607
151,2006-11-26,654.8500822424938
152,2006-12-03,757.4296834182265
153,2006-12-10,411.662941225493
154,2006-12-17,792.943113765218
155,2006-12-24,365.96495558494433
156,2006-12-31,639.3609752014482
157,2007-01-07,526.6903861062559
158,2007-01-14,402.77797426441424
159,2007-01-21,0.0
160,2007-01-28,786.4808575761649
161,2007-02-04,884.0312949499099
162,2007-02-11,680.2173391962991
163,2007-02-18,1192.505524103186
164,2007-02-25,628.9991090181768
165,2007-03-04,732.9687775550044
166,2007-03-11,567.8063022350284
167,2007-03-18,981.5587776099705
168,2007-03-25,276.5913857761017
169,2007-04-01,484.42881960592655
170,2007-04-08,753.1841275132842
171,2007-04-15,648.5248922383694
172,2007-04-22,588.2273195392528
