,date,strep
0,2004-01-04,973.4208150620541
1,2004-01-11,621.7096061671061
2,2004-01-18,720.6990683265517
3,2004-01-25,796.2412800790511
4,2004-02-01,0.0
5,2004-02-08,531.3761938886171
6,2004-02-15,0.0
7,2004-02-22,349.8961627356545
8,2004-02-29,1113.5927617749244
9,2004-03-07,1088.9605616883857
10,2004-03-14,1034.000109195878
11,2004-03-21,0.0
12,2004-03-28,632.3985349952413
13,2004-04-04,1203.693737213447
14,2004-04-11,0.0
15,2004-04-18,1102.6405519864381
16,2004-04-25,0.0
17,2004-05-02,450.7086868115283
18,2004-05-09,374.58983066046693
19,2004-05-16,0.0
20,2004-05-23,1051.0041887046968
21,2004-05-30,732.2361135533351
22,2004-06-06,1426.31030145082
23,2004-06-13,680.373922092355
24,2004-06-20,755.9383007686059
25,2004-06-27,0.0
26,2004-07-04,0.0
27,2004-07-11,0.0
28,2004-07-18,468.8865725451537
29,2004-07-25,0.0
30,2004-08-01,512.0021004262901
31,2004-08-08,713.1269012171189
32,2004-08-15,0.0
33,2004-08-22,377.79320775398315
34,2004-08-29,0.0
35,2004-09-05,888.4162997555148
36,2004-09-12,902.312310958479
37,2004-09-19,0.0
38,2004-09-26,485.48153063664313
39,2004-10-03,284.02682148027196
40,2004-10-10,575.0083473590125
41,2004-10-17,473.78744197827547
42,2004-10-24,1928.246672063452
43,2004-10-31,937.3698419640458
44,2004-11-07,319.24160773362297
45,2004-11-14,743.7858305651164
46,2004-11-21,525.263450896798
47,2004-11-28,0.0
48,2004-12-05,338.18243779439126
49,2004-12-12,800.866814833588
50,2004-12-19,0.0
51,2004-12-26,1301.280208171973
52,2005-01-02,1516.0679123026305
53,2005-01-09,1189.737688849169
54,2005-01-16,570.4211610008872
55,2005-01-23,658.352982333144
56,2005-01-30,524.9534342495252
57,2005-02-06,741.8595795503193
58,2005-02-13,1101.8276497134314
59,2005-02-20,608.8789288858932
60,2005-02-27,791.2058894841076
61,2005-03-06,926.531292607912
62,2005-03-13,1337.7577015090537
63,2005-03-20,532.1006834148508
64,2005-03-27,1267.852171020401
65,2005-04-03,1496.8851404657141
66,2005-04-10,737.205741602693
67,2005-04-17,574.2806685509987
68,2005-04-24,595.0978598532665
69,2005-05-01,1233.3668221597302
70,2005-05-08,857.5435568381088
71,2005-05-15,0.0
72,2005-05-22,520.802550818458
73,2005-05-29,994.9855113119281
74,2005-06-05,0.0
75,2005-06-12,0.0
76,2005-06-19,1001.6590342165953
77,2005-06-26,380.8928828208288
78,2005-07-03,0.0
79,2005-07-10,610.2497311640452
80,2005-07-17,269.08265436812206
81,2005-07-24,695.2489193151456
82,2005-07-31,616.6043645766405
83,2005-08-07,831.3616723881095
84,2005-08-14,0.0
85,2005-08-21,917.4367342906362
86,2005-08-28,924.1205247270877
87,2005-09-04,985.6401050228883
88,2005-09-11,435.5172787966415
89,2005-09-18,466.63117406134563
90,2005-09-25,439.12146410105925
91,2005-10-02,632.5431789222457
92,2005-10-09,1299.875163416834
93,2005-10-16,794.6223832632627
94,2005-10-23,310.52635187417815
95,2005-10-30,369.2265645169456
96,2005-11-06,692.5198339032505
97,2005-11-13,570.1668863677756
98,2005-11-20,512.2168856160793
99,2005-11-27,431.97962779914866
100,2005-12-04,532.7075550845188
101,2005-12-11,921.333455359978
102,2005-12-18,346.8889878318238
103,2005-12-25,659.9863840267624
104,2006-01-01,638.0982821486253
105,2006-01-08,364.07857934486793
106,2006-01-15,746.0945478439047
107,2006-01-22,453.7705221971422
108,2006-01-29,1084.0040288644173
109,2006-02-05,832.5190544490129
110,2006-02-12,729.1619046764647
111,2006-02-19,1015.0796900693446
112,2006-02-26,557.6253048156632
113,2006-03-05,927.4013301471992
114,2006-03-12,963.3127629030228
115,2006-03-19,720.0660580353236
116,2006-03-26,433.48175749421114
117,2006-04-02,1332.3793295240846
118,2006-04-09,840.4888036634165
119,2006-04-16,1163.1463841493328
120,2006-04-23,732.9328254378572
121,2006-04-30,480.0875145936736
122,2006-05-07,845.0515432131576
123,2006-05-14,472.6305438062015
124,2006-05-21,642.7125498918402
125,2006-05-28,474.13467524051214
126,2006-06-04,799.0061191589299
127,2006-06-11,496.5347975353913
128,2006-06-18,938.1800269196219
129,2006-06-25,311.689479405085
130,2006-07-02,686.4511905247825
131,2006-07-09,715.8677621037781
132,2006-07-16,855.8846682259631
133,2006-07-23,400.549577461013
134,2006-07-30,522.7665334944701
135,2006-08-06,301.07621139684073
136,2006-08-13,369.76757702525015
137,2006-08-20,516.9425964707635
138,2006-08-27,295.6995025713279
139,2006-09-03,239.2792671742238
140,2006-09-10,899.2649448265383
141,2006-09-17,168.6693359373929
142,2006-09-24,595.1534849529348
143,2006-10-01,614.5753528613456
144,2006-10-08,520.8251027757607
145,2006-10-15,413.12076234173713
146,2006-10-22,598.0251658974474
147,2006-10-29,807.0169831832916
148,2006-11-05,515.2856363483621
149,2006-11-12,654.2928627265994
150,2006-11-19,159.11449526739142
151,2006-11-26,908.0258350736086
152,2006-12-03,747.4186717556273
153,2006-12-10,443.05221413198825
154,2006-12-17,678.0022791347328
155,2006-12-24,761.519934365838
156,2006-12-31,518.6312083232035
157,2007-01-07,862.3198447556041
158,2007-01-14,711.4024674662446
159,2007-01-21,646.8419505506658
160,2007-01-28,773.0380308277337
161,2007-02-04,999.4051178643166
162,2007-02-11,980.4853162375539
163,2007-02-18,569.3874679933704
164,2007-02-25,861.332499364097
165,2007-03-04,731.5700729521492
166,2007-03-11,597.7365524471558
167,2007-03-18,767.5310752478654
