,date,/m/0b76bty
184,2007-07-15,0.0
185,2007-07-22,0.0
186,2007-07-29,460.64977698259327
187,2007-08-05,185.6804690593063
188,2007-08-12,0.0
189,2007-08-19,395.0833155343214
190,2007-08-26,358.60062349662354
191,2007-09-02,541.1814082540438
192,2007-09-09,271.1599789005195
193,2007-09-16,0.0
194,2007-09-23,0.0
195,2007-09-30,724.0388853147493
196,2007-10-07,0.0
197,2007-10-14,272.16777169505684
198,2007-10-21,0.0
199,2007-10-28,341.3457254398058
200,2007-11-04,250.4298801452717
201,2007-11-11,366.3935722789678
202,2007-11-18,450.4609577205895
203,2007-11-25,0.0
204,2007-12-02,357.4386057574451
205,2007-12-09,434.7707441835447
206,2007-12-16,155.76361519527092
207,2007-12-23,0.0
208,2007-12-30,470.13626385081204
209,2008-01-06,0.0
210,2008-01-13,0.0
211,2008-01-20,489.0886080125564
212,2008-01-27,1137.6337373035494
213,2008-02-03,363.59113025491143
214,2008-02-10,541.8404163071616
215,2008-02-17,689.1824088608073
216,2008-02-24,665.446437841013
217,2008-03-02,497.741895981273
218,2008-03-09,585.8976424545447
219,2008-03-16,0.0
220,2008-03-23,589.9039305141331
221,2008-03-30,475.3340010062209
222,2008-04-06,635.0157904253426
223,2008-04-13,224.6987029185902
224,2008-04-20,275.08045348938356
225,2008-04-27,439.0777515427824
226,2008-05-04,369.80412020603643
227,2008-05-11,694.1512341653033
228,2008-05-18,310.59981115626636
229,2008-05-25,836.4546291574462
230,2008-06-01,541.1074332160754
231,2008-06-08,672.6233588785508
232,2008-06-15,327.39300248053877
233,2008-06-22,0.0
234,2008-06-29,0.0
235,2008-07-06,353.5821345806891
236,2008-07-13,410.60637831730804
237,2008-07-20,394.31809113618607
238,2008-07-27,323.1212996008145
239,2008-08-03,711.1258155212772
240,2008-08-10,410.7290620898169
241,2008-08-17,369.78113266792644
242,2008-08-24,0.0
243,2008-08-31,689.848238072169
244,2008-09-07,298.4487638672343
245,2008-09-14,359.4704945176565
246,2008-09-21,490.7701419531227
247,2008-09-28,182.47325751794924
248,2008-10-05,312.61369331822164
249,2008-10-12,384.582812159478
250,2008-10-19,379.4424167516802
251,2008-10-26,415.2988786630157
252,2008-11-02,993.4833174783854
253,2008-11-09,368.8466227154328
254,2008-11-16,121.99970307977345
255,2008-11-23,165.71031996065346
256,2008-11-30,318.2947947510323
257,2008-12-07,790.1297030473404
258,2008-12-14,690.8127415674204
259,2008-12-21,907.4082595182209
260,2008-12-28,709.0187365543269
261,2009-01-04,941.3940611252107
262,2009-01-11,588.2577255368251
263,2009-01-18,344.8611889753847
264,2009-01-25,717.3655324172831
265,2009-02-01,620.9724543297756
266,2009-02-08,972.2903755301661
267,2009-02-15,658.6019116288885
268,2009-02-22,802.6055686072893
269,2009-03-01,551.5746017917492
270,2009-03-08,531.9301721147526
271,2009-03-15,539.8911548153408
272,2009-03-22,361.4563573902139
273,2009-03-29,162.1694691758608
274,2009-04-05,0.0
275,2009-04-12,556.9263690766518
276,2009-04-19,392.7542061909784
277,2009-04-26,684.5036325169592
278,2009-05-03,760.5853708247774
279,2009-05-10,256.66475815686067
280,2009-05-17,426.29330021286296
281,2009-05-24,894.9739301127765
282,2009-05-31,560.9140306614044
283,2009-06-07,560.3611713021561
284,2009-06-14,812.7640952501691
285,2009-06-21,650.0661188099884
286,2009-06-28,233.88584213878156
287,2009-07-05,299.1117413403753
288,2009-07-12,779.5291699390539
289,2009-07-19,373.91179498420007
290,2009-07-26,316.97402384728616
291,2009-08-02,555.319347900176
292,2009-08-09,483.04441494610967
293,2009-08-16,324.01129659515897
294,2009-08-23,533.1985923384242
295,2009-08-30,654.0850786370485
296,2009-09-06,641.172167079601
297,2009-09-13,849.2799854068467
298,2009-09-20,881.0843988153093
299,2009-09-27,264.24773139203467
300,2009-10-04,419.2006228075524
301,2009-10-11,555.974721206009
302,2009-10-18,768.0552549063271
303,2009-10-25,558.4615220033221
304,2009-11-01,818.8018433325794
305,2009-11-08,842.6894479579022
306,2009-11-15,981.9941526457498
307,2009-11-22,970.5834080238733
308,2009-11-29,676.2428772412114
309,2009-12-06,973.1306074080823
310,2009-12-13,804.6392501082586
311,2009-12-20,1565.8773353763493
312,2009-12-27,672.855533285539
313,2010-01-03,674.7014713979739
314,2010-01-10,416.6055551788181
315,2010-01-17,611.4457063107899
316,2010-01-24,319.27328780009293
317,2010-01-31,667.8896281523108
318,2010-02-07,631.7596559329413
319,2010-02-14,632.6861305397025
320,2010-02-21,381.40353000068967
321,2010-02-28,423.7145580589782
322,2010-03-07,928.3798549127931
323,2010-03-14,855.5049453392381
324,2010-03-21,664.8273738708561
325,2010-03-28,667.6386649245842
326,2010-04-04,863.1559701270429
327,2010-04-11,432.72070981010296
328,2010-04-18,188.63020482714526
329,2010-04-25,462.92417080864595
330,2010-05-02,975.0936122658683
331,2010-05-09,324.4447957441104
332,2010-05-16,723.8106697891044
333,2010-05-23,995.7044175235043
334,2010-05-30,592.2889529910608
335,2010-06-06,582.5815719569408
336,2010-06-13,453.4342253688623
337,2010-06-20,311.1751215654391
338,2010-06-27,569.371117486482
339,2010-07-04,292.85790568744324
340,2010-07-11,588.6693604448569
341,2010-07-18,249.42520774224212
342,2010-07-25,323.5707934281053
343,2010-08-01,734.6200531454185
344,2010-08-08,391.1904868347357
345,2010-08-15,651.2676115914227
346,2010-08-22,876.0958735672552
347,2010-08-29,843.0598229147757
348,2010-09-05,885.2508479362524
349,2010-09-12,182.72074321207376
350,2010-09-19,701.8425752943907
351,2010-09-26,725.0860750640747
352,2010-10-03,183.83262836494757
353,2010-10-10,601.4321442160767
354,2010-10-17,733.452833532816
355,2010-10-24,761.1871161979211
356,2010-10-31,648.8486738566955
357,2010-11-07,659.8974071074563
358,2010-11-14,655.6319340864975
359,2010-11-21,580.611875318166
360,2010-11-28,751.6524095648618
361,2010-12-05,796.6135643874046
362,2010-12-12,711.1739078848701
363,2010-12-19,1217.5884328670193
364,2010-12-26,867.5950795813505
365,2011-01-02,733.90266720328
366,2011-01-09,569.667121767042
367,2011-01-16,667.1184655051161
368,2011-01-23,928.6449238965466
369,2011-01-30,937.2158952963921
370,2011-02-06,1112.3314378237937
371,2011-02-13,1105.6759395443073
372,2011-02-20,680.3426223559668
373,2011-02-27,598.692237972518
374,2011-03-06,872.3526213796208
375,2011-03-13,708.9417580795266
376,2011-03-20,958.4776263623253
377,2011-03-27,759.7017871285494
378,2011-04-03,528.370286432555
379,2011-04-10,864.6513520949611
380,2011-04-17,649.3062857042333
381,2011-04-24,797.7778304830863
382,2011-05-01,571.2101217850515
383,2011-05-08,1084.751716061148
384,2011-05-15,652.3468085467205
385,2011-05-22,951.3737834980462
386,2011-05-29,722.3634380343264
387,2011-06-05,805.8182717453615
388,2011-06-12,599.1349034163454
389,2011-06-19,487.70703563090035
390,2011-06-26,608.0863429243645
391,2011-07-03,811.595043924341
392,2011-07-10,603.5766273896941
393,2011-07-17,565.6907172769887
394,2011-07-24,528.6479190556169
395,2011-07-31,719.9928597970902
396,2011-08-07,503.3225243565158
397,2011-08-14,441.7531340402372
398,2011-08-21,651.7059059356969
399,2011-08-28,583.1729698876075
400,2011-09-04,696.2397504349271
