,date,the flu
192,2007-09-09,364.7096805077469
193,2007-09-16,322.97934964859877
194,2007-09-23,342.1099757467325
195,2007-09-30,187.82256366969426
196,2007-10-07,0.0
197,2007-10-14,194.05211382078068
198,2007-10-21,494.4347185783553
199,2007-10-28,151.31074890442318
200,2007-11-04,0.0
201,2007-11-11,339.56725964096125
202,2007-11-18,0.0
203,2007-11-25,0.0
204,2007-12-02,0.0
205,2007-12-09,143.03834792354144
206,2007-12-16,0.0
207,2007-12-23,173.2753296492624
208,2007-12-30,0.0
209,2008-01-06,0.0
210,2008-01-13,0.0
211,2008-01-20,418.39775569229215
212,2008-01-27,299.9253874807963
213,2008-02-03,375.42552908112015
214,2008-02-10,0.0
215,2008-02-17,589.2610406971079
216,2008-02-24,486.4295505996159
217,2008-03-02,291.13283297032524
218,2008-03-09,363.94147638924187
219,2008-03-16,266.02175569839403
220,2008-03-23,320.2363676485451
221,2008-03-30,249.14320844322424
222,2008-04-06,0.0
223,2008-04-13,0.0
224,2008-04-20,428.40718366156716
225,2008-04-27,0.0
226,2008-05-04,0.0
227,2008-05-11,0.0
228,2008-05-18,0.0
229,2008-05-25,0.0
230,2008-06-01,0.0
231,2008-06-08,0.0
232,2008-06-15,0.0
233,2008-06-22,0.0
234,2008-06-29,0.0
235,2008-07-06,0.0
236,2008-07-13,0.0
237,2008-07-20,303.54837013948963
238,2008-07-27,0.0
239,2008-08-03,0.0
240,2008-08-10,0.0
241,2008-08-17,0.0
242,2008-08-24,191.18614061087945
243,2008-08-31,357.75983794534767
244,2008-09-07,0.0
245,2008-09-14,0.0
246,2008-09-21,0.0
247,2008-09-28,0.0
248,2008-10-05,190.4940131300161
249,2008-10-12,0.0
250,2008-10-19,195.5865064471342
251,2008-10-26,485.0876310537992
252,2008-11-02,278.4498569119626
253,2008-11-09,543.9095523282588
254,2008-11-16,752.340770013358
255,2008-11-23,311.7444211562076
256,2008-11-30,394.12823761365
257,2008-12-07,0.0
258,2008-12-14,290.44809199604396
259,2008-12-21,0.0
260,2008-12-28,229.68987693261352
261,2009-01-04,242.33691827814292
262,2009-01-11,467.7080977500186
263,2009-01-18,589.0472956865493
264,2009-01-25,534.6118433776091
265,2009-02-01,577.3659968857952
266,2009-02-08,436.307351425343
267,2009-02-15,753.2210726594461
268,2009-02-22,359.38994383167477
269,2009-03-01,511.63369496297116
270,2009-03-08,0.0
271,2009-03-15,329.82187984095685
272,2009-03-22,432.39822144119165
273,2009-03-29,168.55060594146306
274,2009-04-05,267.64185846028846
275,2009-04-12,191.9210066724907
276,2009-04-19,0.0
277,2009-04-26,8028.5363109427335
278,2009-05-03,2964.725275930495
279,2009-05-10,620.0918077815033
280,2009-05-17,1023.9653308673954
281,2009-05-24,713.8035912982709
282,2009-05-31,932.3432929873277
283,2009-06-07,1051.9722837909067
284,2009-06-14,906.942574942298
285,2009-06-21,171.65620317529456
286,2009-06-28,317.1278390453996
287,2009-07-05,666.0094096659307
288,2009-07-12,0.0
289,2009-07-19,281.5484148782857
290,2009-07-26,595.0344529143836
291,2009-08-02,235.39856352505996
292,2009-08-09,404.36991655068766
293,2009-08-16,421.21099064549855
294,2009-08-23,646.6139206217889
295,2009-08-30,1142.1441206409568
296,2009-09-06,686.2995017574239
297,2009-09-13,974.6920179337435
298,2009-09-20,1491.674598617057
299,2009-09-27,1554.2888635461
300,2009-10-04,1788.8205673507014
301,2009-10-11,1693.0338828450188
302,2009-10-18,2791.1879878955474
303,2009-10-25,2942.2635651263795
304,2009-11-01,2995.2437610627444
305,2009-11-08,2219.494384902368
306,2009-11-15,1243.8517635114695
307,2009-11-22,1286.914081902952
308,2009-11-29,1046.8770213647156
309,2009-12-06,751.6764383587198
310,2009-12-13,503.05059215321006
311,2009-12-20,0.0
312,2009-12-27,513.2429282301623
313,2010-01-03,118.78200569095407
314,2010-01-10,526.3636146305591
315,2010-01-17,724.5350278188528
316,2010-01-24,142.99164069502226
317,2010-01-31,342.5818964071028
318,2010-02-07,355.4076317968291
319,2010-02-14,436.8265465092138
320,2010-02-21,129.61922070016638
321,2010-02-28,362.4786454482012
322,2010-03-07,239.5804907663195
323,2010-03-14,0.0
324,2010-03-21,157.61216342623396
325,2010-03-28,289.54465537902394
326,2010-04-04,122.37119511057033
327,2010-04-11,163.74249540952587
328,2010-04-18,0.0
329,2010-04-25,186.45630544426274
330,2010-05-02,103.715689535745
331,2010-05-09,268.8620830732136
332,2010-05-16,0.0
333,2010-05-23,291.1317521170956
334,2010-05-30,0.0
335,2010-06-06,99.58444304443036
336,2010-06-13,0.0
337,2010-06-20,0.0
338,2010-06-27,0.0
339,2010-07-04,0.0
340,2010-07-11,0.0
341,2010-07-18,162.30316923006518
342,2010-07-25,141.065464306602
343,2010-08-01,279.7149630210683
344,2010-08-08,0.0
345,2010-08-15,0.0
346,2010-08-22,171.03743464500224
347,2010-08-29,254.49306259176583
348,2010-09-05,197.0063148137978
349,2010-09-12,502.5409982201175
350,2010-09-19,490.3049482245501
351,2010-09-26,209.25803900052873
352,2010-10-03,817.6306477597441
353,2010-10-10,187.15882278988025
354,2010-10-17,546.3956633665713
355,2010-10-24,291.9171878329537
356,2010-10-31,188.3704444544063
357,2010-11-07,352.6087696862165
358,2010-11-14,327.6360752623137
359,2010-11-21,329.766021728712
360,2010-11-28,326.78662342247816
361,2010-12-05,272.1775344882963
362,2010-12-12,653.4964513714957
363,2010-12-19,509.5071994787675
364,2010-12-26,159.46139882199296
365,2011-01-02,590.9304197391712
366,2011-01-09,166.5272947902503
367,2011-01-16,535.8362888064445
368,2011-01-23,835.8441501670754
369,2011-01-30,442.70437868858767
370,2011-02-06,497.07593799015484
371,2011-02-13,526.851842991634
372,2011-02-20,438.24939999307963
373,2011-02-27,488.95875843458344
374,2011-03-06,573.2119814625918
375,2011-03-13,200.558417563436
376,2011-03-20,418.5676427166495
377,2011-03-27,283.35941393617577
378,2011-04-03,267.1303723487956
379,2011-04-10,231.62185530269662
380,2011-04-17,0.0
381,2011-04-24,320.54539123407926
382,2011-05-01,115.56875533493772
383,2011-05-08,291.3043785539363
384,2011-05-15,96.88040236417835
385,2011-05-22,132.97276195362923
386,2011-05-29,225.22372857760206
387,2011-06-05,238.08991070401532
388,2011-06-12,0.0
389,2011-06-19,0.0
390,2011-06-26,0.0
391,2011-07-03,0.0
392,2011-07-10,292.13012394766156
393,2011-07-17,0.0
394,2011-07-24,0.0
395,2011-07-31,297.31180659462785
396,2011-08-07,106.96474155228643
397,2011-08-14,127.35599286123872
398,2011-08-21,0.0
399,2011-08-28,0.0
400,2011-09-04,176.1388576378543
401,2011-09-11,142.13444153710134
402,2011-09-18,265.3800038570246
403,2011-09-25,304.9230268536737
404,2011-10-02,338.5698368776128
405,2011-10-09,499.3632345319448
406,2011-10-16,291.640355041599
407,2011-10-23,345.76515240783266
408,2011-10-30,519.0745176649252
409,2011-11-06,421.41914502357264
410,2011-11-13,287.8556158195458
411,2011-11-20,365.89555317235585
412,2011-11-27,448.99626533010337
413,2011-12-04,328.57575351605976
414,2011-12-11,374.81440660919907
415,2011-12-18,0.0
416,2011-12-25,207.8537134146551
417,2012-01-01,307.3447767496205
418,2012-01-08,241.1263138200305
419,2012-01-15,234.6056039684454
420,2012-01-22,222.27815085858887
421,2012-01-29,495.6375974887899
422,2012-02-05,249.59115197108179
423,2012-02-12,229.73747126814763
424,2012-02-19,291.72548084332533
425,2012-02-26,369.92372759616524
426,2012-03-04,442.7935614811687
427,2012-03-11,327.5056576127014
428,2012-03-18,0.0
429,2012-03-25,134.00057807349836
430,2012-04-01,256.5766863524506
431,2012-04-08,210.27804083712243
432,2012-04-15,281.26209684239944
433,2012-04-22,251.3430582233945
434,2012-04-29,172.52159142373205
435,2012-05-06,211.32813554588253
436,2012-05-13,120.44229914726553
437,2012-05-20,0.0
438,2012-05-27,277.26278494110295
439,2012-06-03,182.85140350051418
440,2012-06-10,0.0
441,2012-06-17,230.84925523111096
442,2012-06-24,59.05174758900989
